congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
44,Senate,200,Republican,47,0.274,0.106,0.2525106382978723,0.0776382978723404
44,Senate,331,Ind. Republican,1,0.104,-0.118,0.104,-0.118
45,President,200,Republican,1,,,,
45,House,100,Democrat,158,-0.3765,-0.084,-0.3734240506329112,-0.15486075949367079
45,House,200,Republican,143,0.379,-0.091,0.3680349650349648,-0.09222377622377619
45,House,329,Ind. Democrat,2,-0.349,0.0595,-0.349,0.0595
45,Senate,100,Democrat,38,-0.4175,-0.037000000000000005,-0.43657894736842107,-0.11352631578947371
45,Senate,200,Republican,43,0.274,0.13,0.26655813953488366,0.10606976744186049
45,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
46,President,200,Republican,1,,,,
46,House,100,Democrat,146,-0.395,-0.048,-0.3909862068965515,-0.04934482758620689
46,House,200,Republican,135,0.399,-0.129,0.39489629629629636,-0.12807407407407412
46,House,326,National Greenbacker,13,-0.036,0.992,-0.012461538461538465,0.8143076923076923
46,House,329,Ind. Democrat,7,-0.3305,0.16649999999999998,-0.35333333333333333,0.16283333333333336
46,Senate,100,Democrat,45,-0.43,-0.039,-0.4526000000000001,-0.11675555555555558
46,Senate,200,Republican,35,0.286,0.059,0.29534285714285713,-0.027171428571428576
46,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
47,President,200,Republican,2,0.095,-0.995,0.095,-0.995
47,House,100,Democrat,137,-0.396,-0.0835,-0.3949779411764705,-0.06818382352941177
47,House,117,Readjuster Democrat,2,-0.008999999999999994,0.4875,-0.008999999999999994,0.4875
47,House,200,Republican,160,0.391,-0.05,0.3877358490566038,-0.050754716981132056
47,House,326,National Greenbacker,10,0.0315,0.9915,0.013100000000000004,0.8629
47,House,328,Independent,1,0.259,-0.291,0.259,-0.291
47,House,329,Ind. Democrat,1,-0.165,0.087,-0.165,0.087
47,Senate,100,Democrat,38,-0.4335,0.007500000000000001,-0.4488157894736843,-0.05276315789473685
47,Senate,114,Readjuster,1,0.397,0.296,0.397,0.296
47,Senate,200,Republican,45,0.314,-0.158,0.3147555555555555,-0.11304444444444446
47,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
48,President,200,Republican,1,0.095,-0.995,0.095,-0.995
48,House,100,Democrat,203,-0.337,-0.062,-0.34691625615763555,-0.052842364532019716
48,House,114,Readjuster,6,0.348,-0.296,0.31620000000000004,-0.1822
48,House,200,Republican,126,0.385,-0.005,0.37748800000000005,0.001823999999999984
48,House,326,National Greenbacker,3,-0.218,0.6,-0.06266666666666666,0.556
48,House,328,Independent,2,-0.178,-0.1455,-0.178,-0.1455
48,House,329,Ind. Democrat,3,-0.042,0.112,-0.20833333333333334,0.272
48,House,331,Ind. Republican,1,0.133,-0.991,0.133,-0.991
48,Senate,100,Democrat,36,-0.4335,-0.052,-0.4494444444444444,-0.09166666666666666
48,Senate,114,Readjuster,2,0.20400000000000001,0.23349999999999999,0.20400000000000001,0.23349999999999999
48,Senate,200,Republican,40,0.308,-0.2515,0.311025,-0.19267499999999999
49,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
49,House,100,Democrat,188,-0.357,-0.052,-0.3657058823529411,-0.09301069518716577
49,House,200,Republican,143,0.391,0.022,0.38361538461538464,0.05334265734265736
49,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
49,House,329,Ind. Democrat,1,-0.181,-0.966,-0.181,-0.966
49,Senate,100,Democrat,39,-0.43,-0.071,-0.4458205128205128,-0.12566666666666665
49,Senate,200,Republican,45,0.288,-0.218,0.29806666666666665,-0.15866666666666665
50,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
50,House,100,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236
50,House,200,Republican,154,0.398,0.048,0.39464052287581713,0.046895424836601335
50,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
50,House,328,Independent,1,0.337,0.016,0.337,0.016
50,House,331,Ind. Republican,2,0.177,0.9764999999999999,0.177,0.9764999999999999
50,House,355,Union,2,-0.156,0.7065,-0.156,0.7065
50,Senate,100,Democrat,37,-0.457,-0.071,-0.4588378378378378,-0.1230810810810811
50,Senate,200,Republican,40,0.287,-0.23049999999999998,0.28857499999999997,-0.1785
51,President,200,Republican,1,0.268,-0.182,0.268,-0.182
51,House,100,Democrat,170,-0.381,-0.206,-0.38360946745562147,-0.22989349112426039
51,House,200,Republican,184,0.408,0.0555,0.4116684782608697,0.09103804347826086
51,House,356,Union Labor,1,0.181,0.139,0.181,0.139
51,Senate,100,Democrat,38,-0.447,-0.07849999999999999,-0.4528421052631579,-0.12407894736842105
51,Senate,200,Republican,53,0.304,-0.183,0.3122264150943397,-0.10445283018867925
52,President,200,Republican,1,0.268,-0.182,0.268,-0.182
52,House,100,Democrat,248,-0.32,-0.206,-0.34145748987854263,-0.2368663967611335
52,House,200,Republican,91,0.426,0.016,0.4249213483146068,0.04412359550561794
52,House,340,Populist,8,-0.159,0.9864999999999999,-0.166125,0.983625
52,Senate,100,Democrat,45,-0.43,-0.086,-0.4411111111111111,-0.18468888888888887
52,Senate,200,Republican,49,0.305,-0.187,0.31065306122448977,-0.11573469387755103
52,Senate,340,Populist,2,-0.083,0.7395,-0.083,0.7395
53,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
53,House,100,Democrat,229,-0.339,-0.2015,-0.3514956140350879,-0.2030263157894736
53,House,200,Republican,135,0.439,-0.032,0.4398421052631579,-0.0009548872180451057
53,House,329,Ind. Democrat,2,-0.21650000000000003,-0.738,-0.21650000000000003,-0.738
53,House,340,Populist,11,-0.16,0.986,-0.16463636363636364,0.8920909090909089
53,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
53,Senate,100,Democrat,48,-0.4265,-0.0235,-0.43822916666666667,-0.15839583333333332
53,Senate,200,Republican,44,0.3115,-0.185,0.323,-0.13102272727272724
53,Senate,340,Populist,3,-0.108,0.977,-0.12666666666666668,0.8186666666666667
53,Senate,1060,Silver,1,0.252,0.215,0.252,0.215
54,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
54,House,100,Democrat,107,-0.422,-0.091,-0.4220291262135923,-0.10036893203883498
54,House,200,Republican,255,0.43,0.052,0.41604347826086974,0.03907114624505927
54,House,340,Populist,9,-0.158,0.974,-0.11233333333333333,0.8963333333333333
54,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
54,Senate,100,Democrat,40,-0.41400000000000003,-0.10550000000000001,-0.42285000000000006,-0.17307499999999995
54,Senate,200,Republican,44,0.3215,-0.1525,0.3461818181818182,-0.09086363636363635
54,Senate,340,Populist,4,-0.161,0.976,-0.15025,0.85775
54,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
55,President,200,Republican,1,0.232,0.372,0.232,0.372
55,House,100,Democrat,132,-0.396,0.122,-0.38913636363636384,0.06209090909090914
55,House,200,Republican,212,0.4345,-0.047,0.4304292452830189,-0.04158962264150941
55,House,331,Ind. Republican,1,0.443,-0.085,0.443,-0.085
55,House,340,Populist,22,-0.2535,0.951,-0.24931818181818183,0.9162272727272728
55,House,354,Silver Republican,3,-0.198,0.465,-0.113,0.39266666666666666
55,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
55,Senate,100,Democrat,38,-0.424,-0.0,-0.42605405405405405,-0.1261351351351352
55,Senate,200,Republican,46,0.374,-0.303,0.38110869565217387,-0.2948478260869565
55,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354000000000001
55,Senate,354,Silver Republican,5,0.095,0.825,0.06659999999999999,0.7901999999999999
55,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
56,President,200,Republican,1,0.232,0.372,0.232,0.372
56,House,100,Democrat,170,-0.36,-0.01,-0.3644378698224853,-0.048976331360946763
56,House,200,Republican,197,0.442,-0.005,0.4372639593908631,-0.009670050761421297
56,House,340,Populist,7,-0.298,0.954,-0.3284285714285714,0.8594285714285714
56,House,354,Silver Republican,2,-0.124,0.2495,-0.124,0.2495
56,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
56,Senate,100,Democrat,28,-0.4325,-0.061000000000000006,-0.41807142857142854,-0.09689285714285718
56,Senate,200,Republican,57,0.386,-0.2445,0.3968571428571428,-0.21846428571428572
56,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354000000000001
56,Senate,354,Silver Republican,3,0.071,0.825,0.026999999999999996,0.769
56,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
57,President,200,Republican,2,0.3175,0.425,0.3175,0.425
57,House,100,Democrat,161,-0.3645,0.042499999999999996,-0.3685687500000002,0.012431249999999994
57,House,200,Republican,206,0.4435,-0.0635,0.4476893203883496,-0.04515048543689324
57,House,340,Populist,5,-0.284,0.542,-0.2814,0.524
57,House,354,Silver Republican,1,-0.198,0.121,-0.198,0.121
57,Senate,100,Democrat,32,-0.397,-0.011000000000000001,-0.37374999999999997,-0.019468750000000007
57,Senate,200,Republican,60,0.4015,-0.295,0.3994166666666666,-0.19036666666666666
57,Senate,340,Populist,2,-0.188,0.8765000000000001,-0.188,0.8765000000000001
58,President,200,Republican,1,0.403,0.478,0.403,0.478
58,House,100,Democrat,182,-0.368,0.016,-0.3638522727272728,-0.03982386363636365
58,House,200,Republican,215,0.443,-0.044,0.4496869158878504,-0.006098130841121507
58,House,331,Ind. Republican,3,0.58,-0.808,0.585,-0.7813333333333333
58,Senate,100,Democrat,33,-0.39,-0.144,-0.36054545454545456,-0.14130303030303032
58,Senate,200,Republican,60,0.435,-0.295,0.4337166666666667,-0.19931666666666667
59,President,200,Republican,1,0.403,0.478,0.403,0.478
59,House,100,Democrat,141,-0.395,-0.0075,-0.37977536231884057,-0.03878985507246376
59,House,200,Republican,262,0.444,-0.069,0.4447374517374516,-0.035725868725868776
59,Senate,100,Democrat,35,-0.395,-0.144,-0.3672,-0.13022857142857142
59,Senate,200,Republican,63,0.433,-0.244,0.4358852459016394,-0.15665573770491803
60,President,200,Republican,1,0.403,0.478,0.403,0.478
60,House,100,Democrat,170,-0.3665,-0.009999999999999998,-0.36021428571428576,-0.05423809523809523
60,House,200,Republican,230,0.442,-0.0285,0.438486956521739,-0.0019086956521739368
60,House,331,Ind. Republican,1,0.551,-0.746,0.551,-0.746
60,Senate,100,Democrat,37,-0.3905,-0.176,-0.3609722222222222,-0.18930555555555556
60,Senate,200,Republican,65,0.426,-0.187,0.42590769230769243,-0.09372307692307692
61,President,200,Republican,1,0.175,-0.985,0.175,-0.985
61,House,100,Democrat,180,-0.365,0.018,-0.3526592178770949,-0.017905027932960903
61,House,200,Republican,222,0.432,-0.0505,0.4266936936936936,-0.035319819819819846
61,Senate,100,Democrat,40,-0.38,-0.20450000000000002,-0.3611578947368422,-0.2615526315789475
61,Senate,200,Republican,63,0.417,-0.129,0.4174285714285714,-0.06557142857142856
62,President,200,Republican,1,0.175,-0.985,0.175,-0.985
62,House,100,Democrat,237,-0.32,-0.002,-0.3254683544303797,-0.038704641350210976
62,House,200,Republican,170,0.414,-0.004,0.41353846153846174,0.030633136094674537
62,House,213,Progressive Republican,1,0.11,0.866,0.11,0.866
62,House,380,Socialist,1,0.176,0.635,0.176,0.635
62,Senate,100,Democrat,53,-0.298,-0.162,-0.30964705882352944,-0.1757647058823529
62,Senate,200,Republican,57,0.417,-0.128,0.4074210526315789,-0.02326315789473686
63,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
63,House,100,Democrat,305,-0.304,0.025,-0.30801328903654485,-0.045524916943521614
63,House,200,Republican,139,0.4005,0.12,0.403644927536232,0.04931884057971016
63,House,328,Independent,1,0.083,0.203,0.083,0.203
63,House,370,Progressive,9,0.29,0.557,0.28855555555555557,0.40066666666666667
63,Senate,100,Democrat,56,-0.278,-0.141,-0.2809464285714286,-0.1495892857142857
63,Senate,200,Republican,44,0.4175,-0.038,0.40688636363636355,0.03036363636363634
63,Senate,370,Progressive,1,0.199,0.341,0.199,0.341
64,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
64,House,100,Democrat,235,-0.318,0.169,-0.3137905982905983,0.0823974358974359
64,House,200,Republican,200,0.4105,0.013,0.40984000000000004,-0.04439499999999999
64,House,328,Independent,1,0.083,0.203,0.083,0.203
64,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
64,House,370,Progressive,6,0.313,-0.059000000000000004,0.24583333333333332,-0.03316666666666668
64,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
64,Senate,100,Democrat,58,-0.2865,-0.0635,-0.2846896551724138,-0.09534482758620685
64,Senate,200,Republican,42,0.432,-0.0495,0.4216666666666667,0.024833333333333336
65,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
65,House,100,Democrat,226,-0.312,0.201,-0.30764888888888886,0.11936444444444454
65,House,200,Republican,225,0.4,0.0,0.4080403587443945,-0.0301614349775785
65,House,331,Ind. Republican,1,0.178,0.036,0.178,0.036
65,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
65,House,370,Progressive,3,0.214,0.233,0.13433333333333333,0.29133333333333333
65,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
65,Senate,100,Democrat,62,-0.269,-0.137,-0.2786065573770491,-0.12242622950819668
65,Senate,200,Republican,49,0.403,-0.044,0.41863829787234047,0.0334468085106383
66,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
66,House,100,Democrat,204,-0.3195,0.2575,-0.31084803921568627,0.1200441176470589
66,House,200,Republican,248,0.4095,0.058499999999999996,0.40450000000000014,0.001862903225806465
66,House,331,Ind. Republican,1,0.194,0.981,0.194,0.981
66,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
66,House,356,Union Labor,1,-0.077,0.786,-0.077,0.786
66,Senate,100,Democrat,50,-0.281,-0.14,-0.29324,-0.15807999999999997
66,Senate,200,Republican,51,0.426,-0.055,0.42507843137254897,0.0330392156862745
67,President,200,Republican,1,0.445,-0.748,0.445,-0.748
67,House,100,Democrat,138,-0.312,0.4085,-0.30960869565217397,0.3182536231884059
67,House,200,Republican,313,0.403,0.041,0.39454340836012863,0.005961414790996818
67,House,331,Ind. Republican,1,0.452,-0.062,0.452,-0.062
67,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
67,Senate,100,Democrat,40,-0.269,-0.137,-0.2864102564102565,-0.13879487179487177
67,Senate,200,Republican,67,0.432,0.045,0.42074242424242414,0.06345454545454546
68,President,200,Republican,2,0.4205,-0.219,0.4205,-0.219
68,House,100,Democrat,218,-0.279,0.383,-0.288557603686636,0.24305990783410164
68,House,200,Republican,233,0.413,0.109,0.4071373390557938,0.05368240343347641
68,House,380,Socialist,1,0.176,0.635,0.176,0.635
68,House,537,Farmer-Labor,2,0.151,0.9884999999999999,0.151,0.9884999999999999
68,Senate,100,Democrat,43,-0.259,-0.028,-0.25327906976744197,-0.09018604651162793
68,Senate,200,Republican,59,0.43,0.057,0.41389830508474573,0.060830508474576266
68,Senate,537,Farmer-Labor,2,0.19,0.9079999999999999,0.19,0.9079999999999999
69,President,200,Republican,1,0.396,0.31,0.396,0.31
69,House,100,Democrat,185,-0.265,0.521,-0.28051891891891895,0.3290486486486488
69,House,200,Republican,253,0.401,0.052500000000000005,0.39469599999999994,0.008623999999999984
69,House,380,Socialist,1,0.176,0.635,0.176,0.635
69,House,523,American Labor,1,0.208,0.66,0.208,0.66
69,House,537,Farmer-Labor,3,0.151,0.988,0.075,0.9209999999999999
69,Senate,100,Democrat,43,-0.267,-0.055,-0.26865116279069773,-0.09153488372093022
69,Senate,200,Republican,61,0.419,0.14,0.3979672131147541,0.14557377049180328
69,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
70,President,200,Republican,1,0.396,0.31,0.396,0.31
70,House,100,Democrat,198,-0.2655,0.523,-0.285979797979798,0.30901010101010107
70,House,200,Republican,243,0.39,0.055,0.38240248962655576,0.019983402489626538
70,House,380,Socialist,1,0.176,0.635,0.176,0.635
70,House,537,Farmer-Labor,2,0.037,0.887,0.037,0.887
70,Senate,100,Democrat,48,-0.263,-0.034,-0.2726875,-0.05002083333333332
70,Senate,200,Republican,54,0.417,0.14,0.39249056603773586,0.14873584905660378
70,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
71,President,200,Republican,1,,,,
71,House,100,Democrat,177,-0.265,0.515,-0.28365317919075134,0.2981618497109828
71,House,200,Republican,278,0.376,0.054,0.3688700361010829,0.014635379061371865
71,House,537,Farmer-Labor,2,-0.013999999999999999,0.349,-0.013999999999999999,0.349
71,Senate,100,Democrat,44,-0.268,0.0005000000000000004,-0.27847727272727274,0.012613636363636353
71,Senate,200,Republican,64,0.4185,0.0465,0.40342187500000004,0.06815625
71,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
72,President,200,Republican,1,,,,
72,House,100,Democrat,231,-0.249,0.503,-0.25569264069264064,0.3235974025974025
72,House,200,Republican,221,0.3775,-0.026,0.36033181818181814,-0.035872727272727285
72,House,537,Farmer-Labor,1,-0.179,-0.29,-0.179,-0.29
72,Senate,100,Democrat,53,-0.2365,0.1155,-0.2273846153846155,0.16390384615384618
72,Senate,200,Republican,52,0.3705,0.07400000000000001,0.3671346153846154,0.08121153846153842
72,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
73,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
73,House,100,Democrat,322,-0.2415,0.3105,-0.25148757763975144,0.21526397515527954
73,House,200,Republican,120,0.348,-0.2025,0.3310916666666668,-0.24065
73,House,537,Farmer-Labor,5,0.17,0.435,0.10659999999999999,0.45619999999999994
73,Senate,100,Democrat,65,-0.221,0.243,-0.20793846153846166,0.24610769230769228
73,Senate,200,Republican,37,0.323,0.048,0.3319459459459459,0.09632432432432432
73,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
74,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
74,House,100,Democrat,329,-0.243,0.166,-0.25562079510703356,0.1816330275229358
74,House,200,Republican,105,0.318,-0.243,0.30507619047619056,-0.2701238095238096
74,House,370,Progressive,7,-0.119,-0.744,-0.10757142857142858,-0.448
74,House,537,Farmer-Labor,3,-0.179,-0.29,-0.07666666666666667,0.03099999999999999
74,Senate,100,Democrat,77,-0.209,0.243,-0.20784000000000008,0.2311333333333333
74,Senate,200,Republican,26,0.276,0.217,0.29719999999999996,0.1726
74,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
74,Senate,537,Farmer-Labor,2,0.11499999999999999,0.989,0.11499999999999999,0.989
75,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
75,House,100,Democrat,343,-0.239,0.1355,-0.25597058823529406,0.16920000000000007
75,House,200,Republican,94,0.318,-0.16,0.3135376344086023,-0.17730107526881714
75,House,370,Progressive,8,-0.14150000000000001,-0.5085,-0.15075,-0.42125
75,House,537,Farmer-Labor,5,-0.28,-0.936,-0.2782,-0.7458
75,Senate,100,Democrat,84,-0.2275,0.24,-0.2276463414634147,0.24250000000000002
75,Senate,200,Republican,19,0.255,-0.018,0.2668823529411764,0.04182352941176473
75,Senate,328,Independent,1,0.134,0.991,0.134,0.991
75,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
75,Senate,537,Farmer-Labor,2,0.2135,0.977,0.2135,0.977
76,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
76,House,100,Democrat,276,-0.232,0.358,-0.24912454212454216,0.2743809523809525
76,House,200,Republican,178,0.3025,-0.2435,0.3081629213483146,-0.2498932584269663
76,House,370,Progressive,2,-0.101,-0.5375000000000001,-0.101,-0.5375000000000001
76,House,522,American Labor,1,-0.415,-0.91,-0.415,-0.91
76,House,537,Farmer-Labor,1,-0.268,-0.593,-0.268,-0.593
76,Senate,100,Democrat,73,-0.224,0.243,-0.2204931506849316,0.26094520547945205
76,Senate,200,Republican,27,0.246,-0.172,0.25392592592592583,-0.10059259259259258
76,Senate,328,Independent,1,0.134,0.991,0.134,0.991
76,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
76,Senate,537,Farmer-Labor,2,0.2135,0.977,0.2135,0.977
77,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
77,House,100,Democrat,278,-0.2375,0.2735,-0.25759782608695647,0.26238768115942035
77,House,200,Republican,170,0.316,-0.2095,0.3129107142857142,-0.2400416666666667
77,House,329,Ind. Democrat,1,-0.302,0.6,-0.302,0.6
77,House,370,Progressive,3,-0.119,-0.744,-0.107,-0.6063333333333334
77,House,522,American Labor,1,-0.415,-0.91,-0.415,-0.91
77,House,537,Farmer-Labor,1,-0.268,-0.593,-0.268,-0.593
77,Senate,100,Democrat,76,-0.221,0.312,-0.21764383561643838,0.30730136986301365
77,Senate,200,Republican,31,0.254,-0.098,0.2541666666666666,-0.09436666666666667
77,Senate,328,Independent,1,0.134,0.991,0.134,0.991
